,GENE
0,A1BG
1,A1BG-AS1
2,A2M
3,A4GALT
4,AAAS
5,AACS
6,AADAT
7,AAED1
8,AAGAB
9,AAK1
10,AAMDC
11,AAMP
12,AANAT
13,AAR2
14,AARD
15,AARS
16,AARS2
17,AARSD1
18,AASDH
19,AASDHPPT
20,AASS
21,AATF
22,AATK
23,AATK-AS1
24,ABALON
25,ABAT
26,ABCA1
27,ABCA10
28,ABCA13
29,ABCA2
30,ABCA3
31,ABCA4
32,ABCA5
33,ABCA6
34,ABCA7
35,ABCA8
36,ABCA9
37,ABCB1
38,ABCB10
39,ABCB4
40,ABCB5
41,ABCB6
42,ABCB7
43,ABCB8
44,ABCB9
45,ABCC1
46,ABCC10
47,ABCC12
48,ABCC2
49,ABCC3
50,ABCC4
51,ABCC5
52,ABCC6
53,ABCC8
54,ABCD1
55,ABCD2
56,ABCD3
57,ABCD4
58,ABCE1
59,ABCF1
60,ABCF2
61,ABCF3
62,ABCG1
63,ABCG2
64,ABCG4
65,ABHD1
66,ABHD10
67,ABHD11
68,ABHD11-AS1
69,ABHD12
70,ABHD12B
71,ABHD13
72,ABHD14A
73,ABHD14B
74,ABHD15
75,ABHD16A
76,ABHD17A
77,ABHD17B
78,ABHD17C
79,ABHD18
80,ABHD2
81,ABHD3
82,ABHD4
83,ABHD5
84,ABHD6
85,ABHD8
86,ABI1
87,ABI2
88,ABI3
89,ABI3BP
90,ABL1
91,ABL2
92,ABLIM1
93,ABLIM2
94,ABLIM3
95,ABR
96,ABRACL
97,ABT1
98,ABTB1
99,ABTB2
100,AC000068.5
101,AC000403.4
102,AC002066.1
103,AC002076.10
104,AC002116.7
105,AC002117.1
106,AC002310.12
107,AC002310.7
108,AC002398.11
109,AC002398.12
110,AC002429.5
111,AC002451.3
112,AC002454.1
113,AC002456.2
114,AC002467.7
115,AC002480.3
116,AC002480.4
117,AC002550.6
118,AC003005.2
119,AC003075.4
120,AC003090.1
121,AC003092.1
122,AC003956.1
123,AC003986.7
124,AC003991.3
125,AC004012.1
126,AC004067.5
127,AC004069.2
128,AC004076.5
129,AC004156.3
130,AC004158.3
131,AC004221.2
132,AC004231.2
133,AC004257.1
134,AC004381.6
135,AC004448.5
136,AC004540.4
137,AC004540.5
138,AC004556.1
139,AC004603.4
140,AC004754.3
141,AC004854.4
142,AC004878.2
143,AC004893.11
144,AC004947.2
145,AC004951.6
146,AC005009.1
147,AC005009.2
148,AC005037.3
149,AC005076.5
150,AC005082.12
151,AC005152.3
152,AC005220.3
153,AC005224.2
154,AC005235.1
155,AC005253.2
156,AC005256.1
157,AC005264.2
158,AC005329.7
159,AC005339.2
160,AC005355.2
161,AC005363.11
162,AC005477.1
163,AC005481.5
164,AC005498.3
165,AC005523.2
166,AC005523.3
167,AC005534.8
168,AC005537.2
169,AC005592.1
170,AC005592.2
171,AC005592.3
172,AC005618.6
173,AC005754.7
174,AC005754.8
175,AC005932.1
176,AC005944.2
177,AC006116.17
178,AC006159.4
179,AC006160.5
180,AC006262.4
181,AC006273.4
182,AC006273.5
183,AC006277.2
184,AC006942.4
185,AC006946.16
186,AC006994.2
187,AC007009.1
188,AC007038.7
189,AC007040.11
190,AC007099.1
191,AC007204.2
192,AC007228.11
193,AC007228.5
194,AC007228.9
195,AC007246.3
196,AC007292.3
197,AC007292.6
198,AC007319.1
199,AC007325.4
200,AC007365.3
201,AC007383.3
202,AC007383.4
203,AC007391.2
204,AC007392.4
205,AC007403.2
206,AC007405.4
207,AC007405.6
208,AC007563.5
209,AC007566.10
210,AC007620.3
211,AC007682.1
212,AC007773.2
213,AC007879.2
214,AC007879.4
215,AC007879.7
216,AC007950.2
217,AC008060.7
218,AC008069.1
219,AC008079.10
220,AC008088.4
221,AC008522.1
222,AC009005.2
223,AC009014.3
224,AC009060.3
225,AC009110.1
226,AC009120.10
227,AC009120.11
228,AC009133.12
