gene_name,in_cluster,cluster
AHR,True,AHR
AIRE,True,AIRE
ALX1,True,"HD/2,HD/8"
ALX3,True,"HD/2,HD/8"
ALX4,True,"HD/2,HD/8"
AR,True,NR/20
ARID3A,True,HD/18
ARID3B,True,HD/2
ARID5A,True,ARI5A
ARNT,True,"AHR,Ebox/CACGTG/1,HIF"
ARNTL,True,Ebox/CACGTG/1
ARX,True,"HD/2,HD/8"
ASCL1,True,Ebox/CAGCTG
ASCL2,True,Ebox/CAGCTG
ATF1,True,CREB/ATF/1
ATF2,True,CREB/ATF/1
ATF3,True,"AP1/1,CREB/ATF/1"
ATF4,True,CREB/ATF/3
ATF7,True,CREB/ATF/2
ATOH1,True,"Ebox/CAGATGG,Ebox/CATATG"
BACH1,True,AP1/2
BACH2,True,AP1/2
BARHL1,True,HD/6
BARHL2,True,HD/6
BARX1,True,"HD/2,HD/4,HD/5"
BATF,True,"AP1/1,BATF"
BATF3,True,"BATF,CREB/ATF/2"
BCL6,True,BCL6/2
BCL6B,True,BCL6/1
BHLHA15,True,Ebox/CATATG
BHLHE22,True,Ebox/CATATG
BHLHE23,True,Ebox/CATATG
BHLHE40,True,Ebox/CACGTG/1
BHLHE41,True,Ebox/CACGTG/1
BSX,True,HD/2
CDX1,True,"HD/13,HD/18"
CDX2,True,HD/18
CEBPA,True,"CCAAT/CEBP,DDIT3+CEBPA"
CEBPB,True,CCAAT/CEBP
CEBPD,True,CCAAT/CEBP
CEBPE,True,CCAAT/CEBP
CEBPG,True,"CCAAT/CEBP,CREB/ATF/3"
CLOCK,True,"Ebox/CACGTG/1,Ebox/CACGTG/2"
CREB1,True,CREB/ATF/1
CREB3,True,"CREB/ATF/2,CREB3/XBP1"
CREB3L1,True,"CREB3/XBP1,Ebox/CACGTG/1"
CREB3L2,True,Ebox/CACGTG/1
CREB5,True,CREB/ATF/2
CREM,True,CREB/ATF/1
CRX,True,HD/20
CTCF,True,CTCF
CTCFL,True,CTCF
CUX1,True,"CUX/1,CUX/2,CUX/3"
CUX2,True,"CUX/1,CUX/2,CUX/4"
DBP,True,CCAAT/CEBP
DDIT3,True,"CREB/ATF/3,DDIT3+CEBPA"
DLX1,True,HD/2
DLX2,True,HD/2
DLX3,True,HD/2
DLX4,True,HD/2
DLX5,True,HD/2
DLX6,True,HD/2
DMBX1,True,HD/20
DMRT1,True,DMRT1
DMRT3,True,DMRT3
DPRX,True,HD/20
DRGX,True,HD/8
DUX4,True,HD/8
DUXA,True,HD/8
E2F1,True,"E2F/1,E2F/2"
E2F2,True,"E2F/1,E2F/4"
E2F3,True,"E2F/1,E2F/2"
E2F4,True,"E2F/1,E2F/2"
E2F5,True,E2F/4
E2F6,True,E2F/2
E2F7,True,"E2F/2,E2F/3"
E2F8,True,E2F/3
EBF1,True,EBF1
EGR1,True,"EGR,KLF/SP/2"
EGR2,True,"EGR,KLF/SP/2"
EGR3,True,EGR
EGR4,True,EGR
EHF,True,"ETS/1,ETS/2"
ELF1,True,ETS/1
ELF2,True,"ETS/1,ETS/2"
ELF3,True,"ETS/1,ETS/2"
ELF4,True,ETS/1
ELF5,True,"ETS/1,ETS/2"
ELK1,True,ETS/1
ELK3,True,ETS/1
ELK4,True,"ETS/1,ETS/2"
EMX1,True,"HD/2,HD/7"
EMX2,True,"HD/2,HD/7"
EN1,True,"HD/2,HD/7"
EN2,True,HD/2
EOMES,True,"TBX/3,TBX/4"
EPAS1,True,HIF
ERF,True,ETS/1
ERG,True,"ETS/1,ETS/2"
ESR1,True,NR/17
ESR2,True,NR/17
ESRRA,True,"NR/12,NR/7"
ESRRB,True,NR/7
ESRRG,True,"NR/12,NR/7"
ESX1,True,HD/2
ETS1,True,"ETS/1,ETS/2"
ETS2,True,ETS/2
ETV1,True,ETS/1
ETV2,True,"ETS/1,ETS/2"
ETV3,True,ETS/1
ETV4,True,"ETS/1,ETS/2"
ETV5,True,"ETS/1,ETS/2"
ETV6,True,"ETS/1,ETS/2"
EVX1,True,HD/2
EVX2,True,HD/2
FEV,True,"ETS/1,ETS/2"
FEZF1,True,FEZF1
FIGLA,True,Ebox/CACCTG
FLI1,True,"ETS/1,ETS/2"
FOS,True,"AP1/1,CREB/ATF/1"
FOSB,True,"AP1/1,CREB/ATF/1"
FOSL1,True,"AP1/1,CREB/ATF/1"
FOSL2,True,"AP1/1,CREB/ATF/1"
FOXA1,True,FOX/4
FOXA2,True,FOX/4
FOXA3,True,FOX/4
FOXB1,True,"FOX/4,FOX/6,FOX/9"
FOXC1,True,"FOX/4,FOX/5,FOX/6"
FOXC2,True,"FOX/4,FOX/5,FOX/6"
FOXD1,True,FOX/5
FOXD2,True,"FOX/5,FOX/6"
FOXD3,True,"FOX/4,FOX/5,FOX/6"
FOXF2,True,FOX/5
FOXG1,True,"FOX/5,FOX/8"
FOXH1,True,FOX/1
FOXI1,True,"FOX/3,FOX/5,NFY"
FOXJ2,True,"FOX/3,FOX/5"
FOXJ3,True,"FOX/3,FOX/5"
FOXK1,True,"FOX/4,FOX/8"
FOXK2,True,FOX/4
FOXL1,True,FOX/5
FOXL2,True,FOX/5
FOXM1,True,FOX/4
FOXO1,True,"FOX/2,FOX/4,FOX/5,FOX/7"
FOXO3,True,"FOX/2,FOX/5,FOX/7"
FOXO4,True,"FOX/2,FOX/5,FOX/7"
FOXO6,True,"FOX/2,FOX/5,FOX/7"
FOXP1,True,FOX/4
FOXP2,True,"FOX/4,FOX/5"
FOXP3,True,FOX/5
FOXQ1,True,FOX/5
GABPA,True,ETS/1
GATA1,True,GATA
GATA2,True,GATA
GATA3,True,GATA
GATA4,True,GATA
GATA5,True,GATA
GATA6,True,GATA
GBX1,True,HD/2
GBX2,True,"HD/2,HD/7"
GCM1,True,GCM
GCM2,True,GCM
GFI1,True,GFI
GFI1B,True,GFI
GLI1,True,GLI
GLI2,True,GLI
GLI3,True,GLI
GLIS1,True,GLIS
GLIS2,True,GLIS
GLIS3,True,GLIS
GMEB1,True,GMEB2/2
GMEB2,True,"GMEB2/1,GMEB2/2,GMEB2/3"
GRHL1,True,GRHL
GRHL2,True,GRHL
GSC,True,HD/20
GSC2,True,HD/20
GSX1,True,HD/2
GSX2,True,HD/2
HAND1,True,HAND1
HES1,True,Ebox/CACGTG/2
HES2,True,Ebox/CACGTG/2
HES5,True,Ebox/CACGTG/1
HES7,True,Ebox/CACGTG/1
HESX1,True,HD/2
HEY1,True,Ebox/CACGTG/1
HEY2,True,Ebox/CACGTG/1
HIC1,True,"HIC/1,HIC/2"
HIC2,True,HIC/1
HIF1A,True,HIF
HINFP,True,HINFP1/1
HLF,True,CCAAT/CEBP
HMBOX1,True,HD/25
HMX1,True,HD/4
HMX2,True,HD/4
HMX3,True,HD/4
HNF1A,True,HD/10
HNF1B,True,HD/10
HNF4A,True,NR/1
HNF4G,True,NR/1
HOMEZ,True,HOMEZ
HOXA1,True,HD/2
HOXA10,True,"HD/17,HD/18"
HOXA11,True,HD/17
HOXA13,True,"HD/17,HD/18"
HOXA2,True,HD/2
HOXA5,True,HD/2
HOXA9,True,HD/14
HOXB13,True,"HD/17,HD/18"
HOXB2,True,HD/2
HOXB3,True,HD/2
HOXB5,True,HD/2
HOXC10,True,"HD/17,HD/18"
HOXC11,True,"HD/17,HD/18"
HOXC12,True,"HD/17,HD/18"
HOXC13,True,"HD/17,HD/18"
HOXC9,True,HD/14
HOXD11,True,"HD/17,HD/18"
HOXD12,True,"HD/17,HD/18"
HOXD13,True,"HD/17,HD/18"
HOXD3,True,HD/2
HOXD8,True,HD/2
HOXD9,True,HD/18
HSF1,True,HSF
HSF2,True,HSF
HSF4,True,HSF
HSFY2,True,HSFY2
IKZF1,True,ZNF143
INSM1,True,INSM1
IRF1,True,IRF/2
IRF2,True,"IRF/1,IRF/2"
IRF3,True,"IRF/1,IRF/2"
IRF4,True,"IRF/1,IRF/2"
IRF5,True,IRF/3
IRF7,True,"IRF/1,IRF/4"
IRF8,True,"IRF/1,IRF/2"
IRF9,True,IRF/1
IRX2,True,HD/23
IRX5,True,HD/23
ISL1,True,HD/2
ISL2,True,HD/4
ISX,True,HD/2
JDP2,True,"AP1/1,CREB/ATF/2"
JUN,True,"AP1/1,CREB/ATF/1,CREB/ATF/2"
JUNB,True,"AP1/1,CREB/ATF/1"
JUND,True,"AP1/1,CREB/ATF/1,CREB/ATF/2"
KLF1,True,"KLF/SP/1,KLF/SP/2"
KLF12,True,"KLF/SP/1,KLF/SP/2"
KLF13,True,KLF/SP/1
KLF14,True,KLF/SP/1
KLF15,True,GC-tract
KLF16,True,KLF/SP/1
KLF3,True,KLF/SP/2
KLF4,True,"KLF/SP/1,KLF/SP/2"
KLF5,True,KLF/SP/2
KLF6,True,KLF/SP/2
KLF8,True,KLF/SP/3
KLF9,True,KLF/SP/1
LBX1,True,HD/2
LBX2,True,HD/2
LEF1,True,"LEF1,TCF/LEF"
LHX2,True,HD/2
LHX3,True,"HD/2,HD/9"
LHX4,True,HD/2
LHX6,True,"HD/1,HD/2"
LHX8,True,HD/2
LHX9,True,HD/2
LIN54,True,LIN54
LMX1A,True,HD/2
LMX1B,True,HD/2
LYL1,True,Ebox/CAGATGG
MAF,True,"AP1/2,MAF"
MAFB,True,MAF
MAFF,True,MAF
MAFG,True,MAF
MAFK,True,"AP1/2,MAF"
MAX,True,"Ebox/CACGTG/1,Ebox/CACGTG/2"
MAZ,True,GC-tract
MBD2,True,MBD2
MECOM,True,EVI1/MECOM
MECP2,True,MECP2
MEF2A,True,MEF2
MEF2B,True,MEF2
MEF2C,True,MEF2
MEF2D,True,MEF2
MEIS1,True,"HD/14,MIES"
MEIS2,True,MIES
MEIS3,True,MIES
MEOX1,True,HD/2
MEOX2,True,"HD/11,HD/2"
MESP1,True,Ebox/CACCTG
MGA,True,"TBX/2,TBX/4"
MITF,True,Ebox/CACGTG/1
MIXL1,True,HD/2
MLX,True,Ebox/CACGTG/1
MLXIP,True,Ebox/CACGTG/1
MLXIPL,True,Ebox/CACGTG/1
MNT,True,Ebox/CACGTG/1
MNX1,True,HD/2
MSC,True,Ebox/CAGCTG
